Site;Plot;bio1;bio2;bio7;Snw;FDD;GDD;Survey
Hoyo Sin Tierra;2015;7.064734977;3.685648945;26.47791537;26;141.6823245;1949.789183;Temporal
Hoyo Sin Tierra;2016;6.493653078;3.289031549;25.0128126;82;49.00231325;1599.586895;Temporal
Hoyo Sin Tierra;2017;7.094738084;3.63525734;27.72901541;60;159.3360244;1962.213167;Temporal
Hoyo Sin Tierra;2018;5.700736652;2.896253068;26.97046141;92;65.4786798;1315.065412;Temporal
Los Boches;2009;3.602697464;1.819475428;17.25067669;201;5.2796992;784.5225517;Temporal
Los Boches;2010;4.010594742;1.906822735;20.65893245;211;3.052654459;859.8607833;Temporal
Los Boches;2011;4.272446504;2.272084554;16.72468842;165;23.68297194;1073.26729;Temporal
Los Boches;2012;3.2293946;1.852374768;19.06542335;144;129.5174515;811.9774583;Temporal
Los Boches;2013;2.754490525;1.528703318;18.07663435;231;10.0543391;467.0804983;Temporal
Los Boches;2014;3.584641752;1.937422587;16.50307358;203;8.852589131;860.7389855;Temporal
Los Boches;2015;4.686810737;2.380960624;21.1816472;184;18.38250612;1112.747648;Temporal
Los Boches;2016;4.069875389;2.192165747;21.51316016;201;18.33307087;889.3177433;Temporal
Los Boches;2017;4.99185895;2.317824965;20.65506132;174;25.01014899;1211.468376;Temporal
Los Boches;2018;3.244734856;1.826040747;22.52573368;216;13.54901063;598.3455067;Temporal
Los Cazadores;2009;4.862398133;2.211562459;17.60102248;152;0;1130.500353;Temporal
Los Cazadores;2010;5.322562935;2.783224417;22.03540117;126;5.02048386;1200.957757;Temporal
Los Cazadores;2011;6.011696044;3.092260068;18.59246425;102;21.8265994;1530.345028;Temporal
Los Cazadores;2012;4.943143779;2.323902884;18.37654323;134;1.759005431;1171.923142;Temporal
Los Cazadores;2013;4.733278443;2.270415879;20.57377645;152;0;999.8006283;Temporal
Los Cazadores;2014;5.489275948;2.725979635;17.20978101;99;0;1321.084795;Temporal
Los Cazadores;2015;6.330177801;3.182919819;23.19498837;128;0;1532.278898;Temporal
Los Cazadores;2016;5.444960754;2.955802018;22.61625888;142;0.231484714;1279.392153;Temporal
Los Cazadores;2017;6.787840664;3.561267592;21.91247373;91;0.522212628;1704.850723;Temporal
Los Cazadores;2018;4.942590583;2.496031642;23.71579956;169;0.347611442;1079.748617;Temporal
