Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Hemicryptophyte,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentianaceae,Gentianales,Magnoliopsida,Superasterids,Angiosperms,8,4,7,3,4,5
Hemicryptophyte,Gentiana verna,Gentiana verna,Gentianaceae,Gentianales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Gentianella campestris,Gentianella campestris,Gentianaceae,Gentianales,Magnoliopsida,Superasterids,Angiosperms,6,5,8,3,6,4
Hemicryptophyte,Gentianella ciliata,Gentianopsis ciliata,Gentianaceae,Gentianales,Magnoliopsida,Superasterids,Angiosperms,7,5,7,4,6,5
Therophyte,Geranium columbinum,Geranium columbinum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,5,6,6
Therophyte,Geranium dissectum,Geranium dissectum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Therophyte,Geranium lucidum,Geranium lucidum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Therophyte,Geranium molle,Geranium molle,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Geranium pratense,Geranium pratense,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Geranium purpureum,Geranium purpureum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,4,6,5,6,6
Therophyte,Geranium pusillum,Geranium pusillum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Geranium pyrenaicum subsp. lusitanicum,Geranium pyrenaicum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Geranium pyrenaicum subsp. pyrenaicum,Geranium pyrenaicum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Therophyte,Geranium robertianum,Geranium robertianum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,7,4,6,5,6,6
Therophyte,Geranium rotundifolium,Geranium rotundifolium,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Geranium sanguineum,Geranium sanguineum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,6
Hemicryptophyte,Geranium subargenteum,Geranium subargenteum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,4,4
Hemicryptophyte,Geranium sylvaticum,Geranium sylvaticum,Geraniaceae,Geraniales,Magnoliopsida,Superrosids,Angiosperms,7,5,6,5,6,5
Hemicryptophyte,Geum hispidum,Geum hispidum,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Geum montanum,Geum montanum,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Geum pyrenaicum,Geum pyrenaicum,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,5,8,4,6,4
Hemicryptophyte,Geum rivale,Geum rivale,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,8,5,7,5,6,5
Hemicryptophyte,Geum sylvaticum,Geum sylvaticum,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,6,6
Hemicryptophyte,Geum urbanum,Geum urbanum,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,4,6,5,6,6
Geophyte,Gladiolus gallaecicus,Gladiolus illyricus,Iridaceae,Asparagales,Liliopsida,Monocots,Angiosperms,6,5,7,4,6,6
Chamaephyte,Glandora diffusa,Glandora diffusa,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,6,6
Chamaephyte,Glandora prostrata,Glandora prostrata,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,6,4,7,3,4,6
Therophyte,Glebionis coronaria,Glebionis coronaria,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Glebionis segetum,Glebionis segetum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,5,6
Hemicryptophyte,Glechoma hederacea,Glechoma hederacea,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,6,6
Hemicryptophyte,Globularia nudicaulis,Globularia nudicaulis,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,3,7,5
Chamaephyte,Globularia repens,Globularia repens,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,4
Hemicryptophyte,Globularia vulgaris,Globularia vulgaris,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Glyceria declinata,Glyceria declinata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,5,7,6,6,5
Hydrophyte,Glyceria fluitans,Glyceria fluitans,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,5,7,5,5,5
Hydrophyte,Glyceria notata,Glyceria notata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,4,7,5,5,5
Hemicryptophyte,Gnaphalium hoppeanum,Gnaphalium hoppeanum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,6,8,3,7,4
Hemicryptophyte,Gnaphalium norvegicum,Gnaphalium norvegicum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Gnaphalium supinum,Gnaphalium supinum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Gnaphalium sylvaticum,Gnaphalium sylvaticum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,4,5,5
Therophyte,Gnaphalium uliginosum,Gnaphalium uliginosum,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,7,4,7,6,6,6
Hydrophyte,Groenlandia densa,Groenlandia densa,Potamogetonaceae,Alismatales,Liliopsida,Monocots,Angiosperms,11,5,7,6,6,5
Geophyte,Gymnadenia conopsea,Gymnadenia conopsea,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,7,5,7,4,6,5
Geophyte,Gymnadenia gabasiana,Gymnadenia gabasiana,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Gymnadenia odoratissima,Gymnadenia odoratissima,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,5,7,4,6,5
Geophyte,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Cystopteridaceae,Polypodiales,Polypodiopsida,Pteridophytes,Pteridophytes,7,5,5,5,5,5
Geophyte,Gymnocarpium robertianum,Gymnocarpium robertianum,Cystopteridaceae,Polypodiales,Polypodiopsida,Pteridophytes,Pteridophytes,6,5,6,4,6,5
Chamaephyte,Gypsophila repens,Gypsophila repens,Caryophyllaceae,Caryophyllales,Magnoliopsida,Superasterids,Angiosperms,5,6,8,3,7,4
Therophyte,Hainardia cylindrica,Hainardia cylindrica,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,4,8,6,6,7
Chamaephyte,Cistus lasianthus,Halimium lasianthum,Cistaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,3,4,6
Phanerophyte,Cistus umbellatus subsp. umbellatus,Halimium umbellatum,Cistaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,4,7,3,4,6
Phanerophyte,Cistus umbellatus subsp. viscosus,Halimium umbellatum,Cistaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,4,7,3,4,6
Phanerophyte,Hedera helix,Hedera helix,Araliaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Phanerophyte,Hedera hibernica,Hedera hibernica,Araliaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,7,4,5,5,5,5
Therophyte,Helianthemum aegyptiacum,Helianthemum aegyptiacum,Cistaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum,Cistaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,5
