Lifeform,Taxon,TPLName,family,order,class,clade,group,F,K,L,N,R,T
Phanerophyte,Acer campestre,Acer campestre,Sapindaceae,Sapindales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,5,6,6
Phanerophyte,Acer pseudoplatanus,Acer pseudoplatanus,Sapindaceae,Sapindales,Magnoliopsida,Superrosids,Angiosperms,7,4,5,5,5,6
Hemicryptophyte,Achillea millefolium,Achillea millefolium,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,5,6,6
Hemicryptophyte,Achillea odorata,Achillea odorata,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,4,7,6
Hemicryptophyte,Achillea ptarmica subsp. pyrenaica,Achillea pyrenaica,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Achillea tomentosa,Achillea tomentosa,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Aconitum lycoctonum subsp. neapolitanum,Aconitum lamarckii,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,5,5,6,5
Hemicryptophyte,Aconitum napellus subsp. lusitanicum,Aconitum napellus,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,8,5,6,6,6,5
Hemicryptophyte,Aconitum napellus subsp. vulgare,Aconitum napellus,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,8,5,6,6,6,5
Geophyte,Actaea spicata,Actaea spicata,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,5,5,6,5
Phanerophyte,Adenocarpus complicatus,Adenocarpus complicatus,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,4,4,6
Phanerophyte,Adenocarpus lainzii,Adenocarpus lainzii,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,6,4,7,4,4,6
Hemicryptophyte,Adenostyles alpina subsp. pyrenaica,Adenostyles alpina,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Adiantum capillus-veneris,Adiantum capillus-veneris,Pteridaceae,Polypodiales,Polypodiopsida,Pteridophytes,Pteridophytes,7,4,6,4,7,6
Hemicryptophyte,Adonis pyrenaica,Adonis pyrenaica,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Adonis vernalis,Adonis vernalis,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aegilops geniculata,Aegilops geniculata,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,4,7,7
Therophyte,Aegilops triuncialis,Aegilops triuncialis,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aegilops ventricosa,Aegilops ventricosa,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Aethionema saxatile subsp. ovalifolium,Aethionema saxatile,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,5
Chamaephyte,Aethionema thomasianum,Aethionema thomasianum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,7,4
Therophyte,Aethusa cynapium,Aethusa cynapium,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Agrimonia eupatoria,Agrimonia eupatoria,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,5,7,5,6,6
Hemicryptophyte,Agrimonia procera,Agrimonia procera,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Agrostemma githago,Agrostemma githago,Caryophyllaceae,Caryophyllales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,6,6
Hemicryptophyte,Agrostis canina,Agrostis canina,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,4,7,3,4,5
Hemicryptophyte,Agrostis capillaris,Agrostis capillaris,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,4,5,5
Hemicryptophyte,Agrostis castellana,Agrostis castellana,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,4,7,4,5,6
Hemicryptophyte,Agrostis curtisii,Agrostis curtisii,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,3,4,6
Hemicryptophyte,Agrostis gigantea,Agrostis gigantea,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,9,4,7,6,6,6
Hemicryptophyte,Agrostis hesperica,Agrostis hesperica,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,8,4,7,3,4,5
Hemicryptophyte,Agrostis rupestris,Agrostis rupestris,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,2,4,3
Hemicryptophyte,Agrostis schleicheri,Agrostis schleicheri,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,3,7,4
Hemicryptophyte,Agrostis stolonifera,Agrostis stolonifera,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,8,4,7,5,6,6
Hemicryptophyte,Agrostis tileni,Agrostis tilenii,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,6,8,3,4,4
Therophyte,Aira caryophyllea,Aira caryophyllea,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,8,4,5,6
Therophyte,Aira cupaniana,Aira cupaniana,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Aira praecox,Aira praecox,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,4,5,8,3,4,7
Therophyte,Ajuga chamaepitys,Ajuga chamaepitys,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,6,5,6,4,4,5
Hemicryptophyte,Ajuga reptans,Ajuga reptans,Lamiaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Hemicryptophyte,Alchemilla alpigena,Alchemilla alpigena,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla alpina,Alchemilla alpina,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,6,3
Hemicryptophyte,Alchemilla angustiserrata,Alchemilla angustiserrata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla borderei,Alchemilla borderei,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla burgensis,Alchemilla burgensis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla catalaunica,Alchemilla catalaunica,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla colorata,Alchemilla colorata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla connivens,Alchemilla connivens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,4,5,5
Hemicryptophyte,Alchemilla coriacea,Alchemilla coriacea,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,8,4,7,4,5,5
Hemicryptophyte,Alchemilla effusa,Alchemilla effusa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla fallax,Alchemilla fallax,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla filicaulis,Alchemilla filicaulis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla fissa,Alchemilla fissa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,8,5,7,4,6,4
Hemicryptophyte,Alchemilla fulgens,Alchemilla fulgens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,4,7,4,5,5
Hemicryptophyte,Alchemilla fulgida,Alchemilla fulgida,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,5,4
Hemicryptophyte,Alchemilla glabra,Alchemilla glabra,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla glaucescens,Alchemilla glaucescens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla hispanica,Alchemilla hispanica,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,6,5
Hemicryptophyte,Alchemilla hoppeana,Alchemilla hoppeana,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Alchemilla hybrida,Alchemilla hybrida,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla impedicellata,Alchemilla impedicellata,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla inconcinna,Alchemilla inconcinna,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla iniquiformis,Alchemilla iniquiformis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla lainzii,Alchemilla lainzii,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla legionensis,Alchemilla legionensis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla lucida,Alchemilla lucida,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla lunaria,Alchemilla lunaria,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla rugulosa,Alchemilla rugulosa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla saxatilis,Alchemilla saxatilis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,6,8,3,3,4
Hemicryptophyte,Alchemilla sierrae,Alchemilla sierrae,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,5,5
Hemicryptophyte,Alchemilla straminea,Alchemilla straminea,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alchemilla subalpina,Alchemilla subalpina,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,4,5,5
Hemicryptophyte,Alchemilla tenuis,Alchemilla tenuis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,9,5,7,4,5,5
Hemicryptophyte,Alchemilla transiens,Alchemilla transiens,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,2,3,3
Hemicryptophyte,Alchemilla xanthochlora,Alchemilla xanthochlora,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,7,5,7,5,6,5
Helophyte,Alisma lanceolatum,Alisma lanceolatum,Alismataceae,Alismatales,Liliopsida,Monocots,Angiosperms,10,5,7,6,6,6
Helophyte,Alisma plantago-aquatica,Alisma plantago-aquatica,Alismataceae,Alismatales,Liliopsida,Monocots,Angiosperms,10,5,7,6,6,6
Hemicryptophyte,Alliaria petiolata,Alliaria petiolata,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,7,5,6,5,6,5
Geophyte,Allium ericetorum,Allium ericetorum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,6,4,7,4,5,6
Geophyte,Allium lusitanicum,Allium lusitanicum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,4,5,8,3,7,5
Geophyte,Allium oleraceum,Allium oleraceum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,6,5,7,5,6,6
Geophyte,Allium palentinum,Allium palentinum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,4,6,8,3,7,4
Geophyte,Allium pallens,Allium pallens,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Allium paniculatum,Allium paniculatum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Allium roseum,Allium roseum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,7,7
Geophyte,Allium schoenoprasum,Allium schoenoprasum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,8,5,8,3,6,4
Geophyte,Allium scorzonerifolium,Allium scorzonerifolium,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,7,4,6,5,5,5
Geophyte,Allium sphaerocephalon,Allium sphaerocephalon,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,7,6
Geophyte,Allium triquetrum,Allium triquetrum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Allium ursinum,Allium ursinum,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,7,4,5,5,6,5
Geophyte,Allium victorialis,Allium victorialis,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,7,4,5,5,5,5
Geophyte,Allium vineale,Allium vineale,Amaryllidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,6,5,7,6,6,6
Phanerophyte,Alnus glutinosa,Alnus glutinosa,Betulaceae,Fagales,Magnoliopsida,Superrosids,Angiosperms,8,4,6,5,5,6
Hemicryptophyte,Alopecurus aequalis,Alopecurus aequalis,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,10,5,7,6,6,5
Hemicryptophyte,Alopecurus arundinaceus,Alopecurus arundinaceus,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,8,5,7,5,6,5
Hemicryptophyte,Alopecurus geniculatus,Alopecurus geniculatus,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Alopecurus gerardii,Alopecurus gerardii,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Alopecurus myosuroides,Alopecurus myosuroides,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,7,6,6,7
Hemicryptophyte,Alopecurus pratensis,Alopecurus pratensis,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,6,5,7,5,6,5
Therophyte,Althaea hirsuta,Althaea hirsuta,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,4,7,7
Hemicryptophyte,Althaea officinalis,Althaea officinalis,Malvaceae,Malvales,Magnoliopsida,Superrosids,Angiosperms,9,4,7,6,7,6
Therophyte,Alyssum alyssoides,Alyssum alyssoides,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,5,8,4,7,7
Therophyte,Alyssum granatense,Alyssum granatense,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Alyssum minutum,Alyssum minutum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Alyssum montanum,Alyssum montanum,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,4,8,4,6,6
Chamaephyte,Odontarrhena serpyllifolia,Alyssum serpyllifolium,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,NA,NA,NA,NA,NA,NA
Therophyte,Alyssum simplex,Alyssum simplex,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,4,6,8,3,5,7
Phanerophyte,Amelanchier ovalis,Amelanchier ovalis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,7,6
Therophyte,Ammi majus,Ammi majus,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,6,5,8,6,6,7
Therophyte,Ammi visnaga,Ammi visnaga,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Anacamptis coriophora,Anacamptis coriophora,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,6,5,7,4,6,5
Geophyte,Anacamptis morio subsp. champagneuxii,Anacamptis morio,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,6,6
Geophyte,Anacamptis morio subsp. morio,Anacamptis morio,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,6,6
Geophyte,Anacamptis morio subsp. picta,Anacamptis morio,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,6,6
Geophyte,Anacamptis papilionacea,Anacamptis papilionacea,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Anacamptis pyramidalis,Anacamptis pyramidalis,Orchidaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,7,4,6,6
Therophyte,Anacyclus clavatus,Anacyclus clavatus,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,6,6,6
Therophyte,Anagallis foemina,Anagallis arvensis,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Therophyte,Anagallis arvensis,Anagallis arvensis,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Therophyte,Anagallis minima,Anagallis minima,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Anagallis monelli,Anagallis monelli,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,4,3,8,5,6,7
Hemicryptophyte,Anagallis tenella,Anagallis tenella,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,9,4,7,3,5,5
Hemicryptophyte,Anarrhinum bellidifolium,Anarrhinum bellidifolium,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,4,7,4,5,7
Hemicryptophyte,Anarrhinum duriminium,Anarrhinum duriminium,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,4,7,4,4,6
Therophyte,Lycopsis arvensis,Anchusa arvensis,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,6,6,6
Hemicryptophyte,Anchusa azurea,Anchusa azurea,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,6,7,7
Hemicryptophyte,Anchusa undulata,Anchusa undulata,Boraginaceae,Boraginales,Magnoliopsida,Superasterids,Angiosperms,5,4,8,5,6,7
Chamaephyte,Androsace cantabrica,Androsace adfinis,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,5,6,8,2,4,3
Chamaephyte,Androsace halleri,Androsace halleri,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,3,3,4
Chamaephyte,Androsace lactea,Androsace lactea,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,6,5,8,3,6,3
Chamaephyte,Androsace maxima,Androsace maxima,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,6,7,7
Chamaephyte,Androsace villosa,Androsace villosa,Primulaceae,Ericales,Magnoliopsida,Superasterids,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Andryala integrifolia,Andryala integrifolia,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,4,7,4,5,7
Hemicryptophyte,Andryala ragusina,Andryala ragusina,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,4,6,5,6,6
Hemicryptophyte,Pulsatilla alpina subsp. cantabrica,Anemone alpina,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,5,5,8,3,7,5
Hemicryptophyte,Pulsatilla alpina subsp. apiifolia,Anemone alpina,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,5,5,8,3,7,5
Geophyte,Anemone nemorosa,Anemone nemorosa,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,4,5,5,5,5
Geophyte,Anemone pavoniana,Anemone pavoniana,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,5,5,8,3,7,4
Hemicryptophyte,Pulsatilla rubra,Anemone pratensis,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,6,5,7,4,6,5
Geophyte,Anemone ranunculoides,Anemone ranunculoides,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,6,6,6,5
Hemicryptophyte,Pulsatilla vernalis,Anemone vernalis,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,5,5,7,3,4,4
Hemicryptophyte,Angelica laevis,Angelica laevis,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Hemicryptophyte,Angelica sylvestris,Angelica sylvestris,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,7,4,6,5,5,6
Therophyte,Anogramma leptophylla,Anogramma leptophylla,Pteridaceae,Polypodiales,Polypodiopsida,Pteridophytes,Pteridophytes,5,4,7,4,6,7
Hemicryptophyte,Antennaria dioica,Antennaria dioica,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,6,8,2,4,4
Therophyte,Anthemis arvensis subsp. incrassata,Anthemis arvensis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,5,6
Therophyte,Anthemis arvensis subsp. arvensis,Anthemis arvensis,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,5,5,6
Therophyte,Anthemis cotula,Anthemis cotula,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,6,5,7,6,6,6
Hemicryptophyte,Anthemis cretica subsp. carpatica,Anthemis cretica,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,5,6,8,3,5,4
Hemicryptophyte,Anthemis pedunculata subsp. turolensis,Anthemis pedunculata,Asteraceae,Asterales,Magnoliopsida,Superasterids,Angiosperms,NA,NA,NA,NA,NA,NA
Geophyte,Anthericum liliago,Anthericum liliago,Asparagaceae,Asparagales,Liliopsida,Monocots,Angiosperms,4,5,8,3,7,6
Hemicryptophyte,Anthoxanthum amarum,Anthoxanthum amarum,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,6,4,4,6
Therophyte,Anthoxanthum aristatum,Anthoxanthum aristatum,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,5,5,7,4,4,6
Hemicryptophyte,Anthoxanthum odoratum,Anthoxanthum odoratum,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,7,4,7,5,5,6
Therophyte,Anthriscus caucalis,Anthriscus caucalis,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,6,6,6
Hemicryptophyte,Anthriscus sylvestris,Anthriscus sylvestris,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,7,5,6,6,6,6
Hemicryptophyte,Anthyllis vulneraria subsp. forondae,Anthyllis vulneraria,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,5
Hemicryptophyte,Anthyllis vulneraria,Anthyllis vulneraria,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,5
Hemicryptophyte,Anthyllis vulneraria subsp. boscii,Anthyllis vulneraria,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,5
Hemicryptophyte,Anthyllis vulneraria subsp. vulnerarioides,Anthyllis vulneraria,Fabaceae,Fabales,Magnoliopsida,Superrosids,Angiosperms,5,5,8,3,7,5
Therophyte,Antinoria agrostidea subsp. natans,Antinoria agrostidea,Poaceae,Poales,Liliopsida,Monocots,Angiosperms,NA,NA,NA,NA,NA,NA
Chamaephyte,Antirrhinum braun-blanquetii,Antirrhinum braun-blanquetii,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,5,5,7,4,7,6
Chamaephyte,Antirrhinum meonanthum,Antirrhinum meonanthum,Plantaginaceae,Lamiales,Magnoliopsida,Superasterids,Angiosperms,4,5,7,4,6,6
Therophyte,Aphanes arvensis,Aphanes arvensis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,5,5,6
Therophyte,Aphanes australis,Aphanes australis,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,4,5,8,4,4,7
Therophyte,Aphanes cornucopioides,Aphanes cornucopioides,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,5,6,6
Therophyte,Aphanes microcarpa,Aphanes microcarpa,Rosaceae,Rosales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,5,5,7
Hemicryptophyte,Aphyllanthes monspeliensis,Aphyllanthes monspeliensis,Asparagaceae,Asparagales,Liliopsida,Monocots,Angiosperms,5,5,8,3,7,6
Helophyte,Helosciadium nodiflorum,Apium nodiflorum,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,9,5,7,6,6,6
Helophyte,Helosciadium repens,Apium repens,Apiaceae,Apiales,Magnoliopsida,Superasterids,Angiosperms,8,5,7,4,6,5
Hemicryptophyte,Aquilegia dichroa,Aquilegia dichroa,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,8,4,5,5,5,6
Hemicryptophyte,Aquilegia discolor,Aquilegia pyrenaica,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,5,8,3,7,4
Hemicryptophyte,Aquilegia vulgaris,Aquilegia vulgaris,Ranunculaceae,Ranunculales,Magnoliopsida,Ranunculales,Angiosperms,7,4,6,5,5,5
Therophyte,Arabidopsis thaliana,Arabidopsis thaliana,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,7,6,6,6
Chamaephyte,Arabis alpina,Arabis alpina,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,6,4,6,5
Hemicryptophyte,Arabis ciliata,Arabis ciliata,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,6,5,8,3,6,4
Hemicryptophyte,Arabis hirsuta,Arabis hirsuta,Brassicaceae,Brassicales,Magnoliopsida,Superrosids,Angiosperms,5,5,7,4,6,6
