"Plot","Cell","Taxon","Present"
"UR2-19",80,"Alchemilla catalaunica",1
"HR1-19",75,"Alchemilla catalaunica",1
"HR1-09",74,"Alchemilla catalaunica",1
"UR1-19",92,"Alchemilla catalaunica",1
"UR1-08",63,"Alchemilla catalaunica",1
"UR2-08",66,"Alchemilla catalaunica",1
"UR1-19",48,"Alchemilla catalaunica",1
"HR1-19",53,"Alchemilla catalaunica",1
"UR2-19",88,"Alchemilla catalaunica",1
"UR1-08",98,"Alchemilla catalaunica",1
"UR2-19",15,"Alchemilla catalaunica",1
"UR2-08",87,"Alchemilla catalaunica",1
"UR2-19",31,"Alchemilla catalaunica",1
"UR1-19",8,"Alchemilla catalaunica",1
"UR1-08",82,"Alchemilla catalaunica",1
"UR1-19",73,"Alchemilla catalaunica",1
"UR1-19",47,"Alchemilla catalaunica",1
"UR2-19",19,"Alchemilla catalaunica",1
"UR1-19",38,"Alchemilla catalaunica",1
"HR1-19",30,"Alchemilla catalaunica",1
"UR1-19",28,"Alchemilla catalaunica",1
"UR2-19",76,"Alchemilla catalaunica",1
"UR2-19",98,"Alchemilla catalaunica",1
"HR2-19",93,"Alchemilla catalaunica",1
"UR2-08",46,"Alchemilla catalaunica",1
"UR1-08",28,"Alchemilla catalaunica",1
"HR2-19",13,"Alchemilla catalaunica",1
"UR2-08",96,"Alchemilla catalaunica",1
"UR2-08",76,"Alchemilla catalaunica",1
"UR1-08",23,"Alchemilla catalaunica",1
"UR1-19",40,"Alchemilla catalaunica",1
"HR2-19",85,"Alchemilla catalaunica",1
"HR1-09",93,"Alchemilla catalaunica",1
"HR1-09",19,"Alchemilla catalaunica",1
"UR1-19",93,"Alchemilla catalaunica",1
"UR2-19",86,"Alchemilla catalaunica",1
"UR1-08",51,"Alchemilla catalaunica",1
"UR1-19",35,"Alchemilla catalaunica",1
"UR1-08",52,"Alchemilla catalaunica",1
"UR2-08",47,"Alchemilla catalaunica",1
"UR2-08",17,"Alchemilla catalaunica",1
"HR1-19",92,"Alchemilla catalaunica",1
"UR1-19",57,"Alchemilla catalaunica",1
"UR2-19",92,"Alchemilla catalaunica",1
"UR2-19",27,"Alchemilla catalaunica",1
"HR1-19",40,"Alchemilla catalaunica",1
"UR2-08",92,"Alchemilla catalaunica",1
"UR1-19",24,"Alchemilla catalaunica",1
"HR2-19",86,"Alchemilla catalaunica",1
"UR2-19",8,"Alchemilla catalaunica",1
"HR2-09",84,"Alchemilla catalaunica",1
"HR1-09",76,"Alchemilla catalaunica",1
"UR1-19",74,"Alchemilla catalaunica",1
"HR1-19",86,"Alchemilla catalaunica",1
"UR1-19",31,"Alchemilla catalaunica",1
"HR1-09",94,"Alchemilla catalaunica",1
"UR1-08",53,"Alchemilla catalaunica",1
"HR1-19",85,"Alchemilla catalaunica",1
"HR1-09",65,"Alchemilla catalaunica",1
"UR1-08",57,"Alchemilla catalaunica",1
"UR2-19",25,"Alchemilla catalaunica",1
"UR2-08",95,"Alchemilla catalaunica",1
"UR1-08",47,"Alchemilla catalaunica",1
"HR1-19",10,"Alchemilla catalaunica",1
"UR2-08",51,"Alchemilla catalaunica",1
"UR2-08",9,"Alchemilla catalaunica",1
"HR1-09",54,"Alchemilla catalaunica",1
"UR2-19",36,"Alchemilla catalaunica",1
"UR1-08",22,"Alchemilla catalaunica",1
"HR2-19",15,"Alchemilla catalaunica",1
"UR1-19",45,"Alchemilla catalaunica",1
"UR1-08",88,"Alchemilla catalaunica",1
"HR1-09",75,"Alchemilla catalaunica",1
"UR1-19",99,"Alchemilla catalaunica",1
"UR2-08",81,"Alchemilla catalaunica",1
"HR2-09",95,"Alchemilla catalaunica",1
"UR2-08",88,"Alchemilla catalaunica",1
"HR2-09",94,"Alchemilla catalaunica",1
"UR2-19",64,"Alchemilla catalaunica",1
"HR2-09",96,"Alchemilla catalaunica",1
"UR2-08",63,"Alchemilla catalaunica",1
"UR1-19",78,"Alchemilla catalaunica",1
"UR1-08",45,"Alchemilla catalaunica",1
"UR1-08",42,"Alchemilla catalaunica",1
"HR2-19",25,"Alchemilla catalaunica",1
"HR1-09",85,"Alchemilla catalaunica",1
"UR1-08",86,"Alchemilla catalaunica",1
"UR1-19",66,"Alchemilla catalaunica",1
"HR1-09",96,"Alchemilla catalaunica",1
"HR2-19",95,"Alchemilla catalaunica",1
"HR2-19",74,"Alchemilla catalaunica",1
"UR2-19",54,"Alchemilla catalaunica",1
"HR2-19",84,"Alchemilla catalaunica",1
"HR1-19",55,"Alchemilla catalaunica",1
"HR2-09",86,"Alchemilla catalaunica",1
"UR2-08",8,"Alchemilla catalaunica",1
"UR2-19",56,"Alchemilla catalaunica",1
"HR1-09",55,"Alchemilla catalaunica",1
"UR1-08",55,"Alchemilla catalaunica",1
"UR2-08",72,"Alchemilla catalaunica",1
"HR2-09",24,"Alchemilla catalaunica",1
"UR2-19",42,"Alchemilla catalaunica",1
"HR1-09",20,"Alchemilla catalaunica",1
"UR2-08",73,"Alchemilla catalaunica",1
"UR1-08",61,"Alchemilla catalaunica",1
"UR2-08",90,"Alchemilla catalaunica",1
"HR1-19",93,"Alchemilla catalaunica",1
"UR2-19",7,"Alchemilla catalaunica",1
"UR2-08",36,"Alchemilla catalaunica",1
"UR2-19",94,"Alchemilla catalaunica",1
"UR2-19",100,"Alchemilla catalaunica",1
"UR1-19",1,"Alchemilla catalaunica",1
"UR1-08",27,"Alchemilla catalaunica",1
"UR1-19",86,"Alchemilla catalaunica",1
"HR1-19",56,"Alchemilla catalaunica",1
"HR1-19",83,"Alchemilla catalaunica",1
"UR2-08",56,"Alchemilla catalaunica",1
"UR1-08",31,"Alchemilla catalaunica",1
"UR1-19",20,"Alchemilla catalaunica",1
"UR1-08",39,"Alchemilla catalaunica",1
"UR1-19",46,"Alchemilla catalaunica",1
"UR2-19",85,"Alchemilla catalaunica",1
"UR1-08",38,"Alchemilla catalaunica",1
"HR2-09",93,"Alchemilla catalaunica",1
"UR2-19",78,"Alchemilla catalaunica",1
"UR2-19",63,"Alchemilla catalaunica",1
"HR2-19",94,"Alchemilla catalaunica",1
"UR1-08",20,"Alchemilla catalaunica",1
"EC1-19",27,"Androsace villosa",1
"EC1-19",90,"Androsace villosa",1
"EC2-19",18,"Androsace villosa",1
"EC1-08",35,"Androsace villosa",1
"EC2-19",28,"Androsace villosa",1
"LC1-09",19,"Androsace villosa",1
"HA1-09",51,"Androsace villosa",1
"LC2-19",39,"Androsace villosa",1
"HA2-09",85,"Androsace villosa",1
"HA2-09",43,"Androsace villosa",1
"LC1-19",8,"Androsace villosa",1
"EC1-19",69,"Androsace villosa",1
"HA2-09",53,"Androsace villosa",1
"LC1-19",95,"Androsace villosa",1
"EC1-19",35,"Androsace villosa",1
"EC1-19",84,"Androsace villosa",1
"HA2-19",67,"Androsace villosa",1
"LC2-19",40,"Androsace villosa",1
"EC1-19",82,"Androsace villosa",1
"LC2-19",49,"Androsace villosa",1
"LC1-19",43,"Androsace villosa",1
"EC2-08",37,"Androsace villosa",1
"LC1-19",48,"Androsace villosa",1
"EC2-08",41,"Androsace villosa",1
"EC1-08",91,"Androsace villosa",1
"LC1-19",72,"Androsace villosa",1
"EC2-19",55,"Androsace villosa",1
"EC1-19",40,"Androsace villosa",1
"HI2-19",65,"Androsace villosa",1
"LC1-09",9,"Androsace villosa",1
"HI1-19",28,"Androsace villosa",1
"LC1-19",33,"Androsace villosa",1
"EC2-08",35,"Androsace villosa",1
"LC2-19",64,"Androsace villosa",1
"LC1-09",75,"Androsace villosa",1
"LC1-09",8,"Androsace villosa",1
"LC1-09",30,"Androsace villosa",1
"EC2-19",23,"Androsace villosa",1
"LC2-09",93,"Androsace villosa",1
"LC2-09",91,"Androsace villosa",1
"LC1-09",38,"Androsace villosa",1
"LC2-09",19,"Androsace villosa",1
"EC2-19",76,"Androsace villosa",1
"HA2-19",16,"Androsace villosa",1
"LC2-09",44,"Androsace villosa",1
"LC1-09",13,"Androsace villosa",1
"EC2-19",74,"Androsace villosa",1
"LC2-19",45,"Androsace villosa",1
"HI1-19",81,"Androsace villosa",1
"LC1-09",46,"Androsace villosa",1
"LC1-19",66,"Androsace villosa",1
"LC1-09",99,"Androsace villosa",1
"HI1-19",16,"Androsace villosa",1
"EC1-19",55,"Androsace villosa",1
"HI1-19",26,"Androsace villosa",1
"EC2-19",87,"Androsace villosa",1
"HA1-09",55,"Androsace villosa",1
"LC1-19",29,"Androsace villosa",1
"LC1-19",61,"Androsace villosa",1
"LC1-09",7,"Androsace villosa",1
"EC2-08",21,"Androsace villosa",1
"EC1-08",24,"Androsace villosa",1
"HA2-19",59,"Androsace villosa",1
"HA2-19",32,"Androsace villosa",1
"HA2-19",76,"Androsace villosa",1
"LC1-09",55,"Androsace villosa",1
"LC1-09",29,"Androsace villosa",1
"HA2-19",78,"Androsace villosa",1
"HA2-19",90,"Androsace villosa",1
"LC1-09",68,"Androsace villosa",1
"LC2-19",75,"Androsace villosa",1
"EC2-19",98,"Androsace villosa",1
"LC1-09",100,"Androsace villosa",1
"HI1-09",9,"Androsace villosa",1
"HA2-19",69,"Androsace villosa",1
"LC2-09",39,"Androsace villosa",1
"LC2-09",32,"Androsace villosa",1
"LC1-09",82,"Androsace villosa",1
"HA2-09",70,"Androsace villosa",1
"HA2-19",85,"Androsace villosa",1
"LC1-19",26,"Androsace villosa",1
"HA1-19",69,"Androsace villosa",1
"HI2-19",47,"Androsace villosa",1
"HA1-09",60,"Androsace villosa",1
"LC2-09",86,"Androsace villosa",1
"EC2-19",25,"Androsace villosa",1
"LC2-09",45,"Androsace villosa",1
"HA2-19",74,"Androsace villosa",1
"LC1-19",13,"Androsace villosa",1
"EC2-08",39,"Androsace villosa",1
"LC2-09",65,"Androsace villosa",1
"LC1-19",37,"Androsace villosa",1
"LC1-19",6,"Androsace villosa",1
"LC2-09",1,"Androsace villosa",1
"EC1-08",54,"Androsace villosa",1
"LC2-09",22,"Androsace villosa",1
"EC1-19",21,"Androsace villosa",1
"EC2-08",40,"Androsace villosa",1
"LC2-09",35,"Androsace villosa",1
"HA2-09",60,"Androsace villosa",1
"HA2-09",40,"Androsace villosa",1
"LC1-09",54,"Androsace villosa",1
"HA1-09",69,"Androsace villosa",1
"HA2-19",77,"Androsace villosa",1
"LC2-09",49,"Androsace villosa",1
"LC1-09",92,"Androsace villosa",1
"LC2-09",18,"Androsace villosa",1
"HI2-19",21,"Androsace villosa",1
"LC2-19",15,"Androsace villosa",1
"HA2-09",7,"Androsace villosa",1
"LC1-19",84,"Androsace villosa",1
"EC2-19",19,"Androsace villosa",1
"LC1-09",1,"Androsace villosa",1
"LC1-19",23,"Androsace villosa",1
"LC2-09",53,"Androsace villosa",1
