"Plot","Taxon","Cover"
"HI1-09","Thymus praecox subsp. ligusticus",0.5
"EC1-08","Thymus praecox subsp. ligusticus",1
"EC2-08","Thymus praecox subsp. ligusticus",1
"UR1-08","Thymus praecox subsp. ligusticus",5
"HA2-09","Thymus praecox subsp. ligusticus",25
"HI2-09","Thymus praecox subsp. ligusticus",1
"LB2-09","Thymus praecox subsp. ligusticus",0.5
"LB1-09","Thymus praecox subsp. ligusticus",0.2
"HA1-09","Thymus praecox subsp. ligusticus",4
"LC2-09","Thymus praecox subsp. ligusticus",0.2
"HR2-09","Veronica aphylla",2
"HR1-09","Veronica aphylla",1
"LB1-09","Veronica nummularia",0.01
"LB1-09","Viola riviniana",0.01
"UR2-08","Viola pyrenaica",0.1
"UR1-19","Alchemilla catalaunica",15
"HR1-19","Alchemilla catalaunica",4
"UR2-19","Alchemilla catalaunica",10
"HR2-19","Alchemilla catalaunica",5
"HA2-19","Androsace villosa",3
"LC1-19","Androsace villosa",8
"HI2-19","Androsace villosa",0.5
"EC2-19","Androsace villosa",3
"EC1-19","Androsace villosa",0.5
"LC2-19","Androsace villosa",4
"HA1-19","Androsace villosa",0.5
"HI1-19","Androsace villosa",1
"EC2-19","Anthyllis vulneraria",0.5
"LB2-19","Anthyllis vulneraria",10
"HI1-19","Anthyllis vulneraria",5
"LC1-19","Anthyllis vulneraria",2
"HR1-19","Anthyllis vulneraria",1
"LC2-19","Anthyllis vulneraria",4
"HI2-19","Anthyllis vulneraria",15
"HA2-19","Anthyllis vulneraria",2
"LB1-19","Anthyllis vulneraria",8
"UR2-19","Anthyllis vulneraria",2
"UR1-19","Anthyllis vulneraria",3
"HA2-19","Arenaria erinacea",2
"HA1-19","Arenaria erinacea",0.1
"HR2-19","Arenaria moehringioides",0.5
"LB2-19","Arenaria moehringioides",0.5
"LB1-19","Arenaria moehringioides",0.2
"UR2-19","Arenaria purpurascens",0.01
"HR2-19","Arenaria purpurascens",5
"UR1-19","Arenaria purpurascens",0.25
"LB2-19","Arenaria purpurascens",0.1
"LC2-19","Arenaria purpurascens",0.1
