"Taxon","bio1","bio2","bio7","FDD","GDD","Snw","(Intercept) estimate","(Intercept) std.error","(Intercept) statistic","(Intercept) p.value","GDD estimate","GDD std.error","GDD statistic","GDD p.value","null.deviance","df.null","logLik","AIC","BIC","deviance","df.residual","nobs","rho2"
"Armeria cantabrica",3.25015459821567,2.22915828036278,21.1291206363235,26.5470319634703,712.851021961296,116.898630136986,1.5043935861773,0.431769044600242,3.48425530961849,0.000493508483173642,-0.00676145751925924,0.00058420654351199,-11.5737449269437,5.59845473383333e-31,352.799156357667,77,-115.432717983942,234.865435967884,239.578853621263,152.454730870187,76,78,0.47
"Asplenium viride",4.30708234417912,2.48012847367686,22.6774193548387,44.5833333333333,1055.5,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botrychium lunaria",3.23293026803873,2.06583324906462,19.0322580645161,0.875,706.398809523809,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carduus carlinoides",3.32223261536387,2.42117311683496,21.4193548387097,39.5833333333333,764.488095238095,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex ornithopoda",3.33079572504439,2.35402738798936,19.9807289484709,17.4242424242425,718.367965367965,36.4545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex pulicaris",3.11586442848957,2.36652027986844,20.3064516129032,0,633.916666666667,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex sempervirens",4.74047224790412,3.49626393111319,23.7710048201706,25.4563218390805,1191.84408866995,92.9218390804598,-5.42081128385361,0.232943309775384,-23.2709464336221,8.73119331787642e-120,0.00233416552160186,0.000192619463409902,12.1180148686982,8.47879914312845e-34,1022.11541917542,77,-505.172967224982,1014.34593444996,1019.05935210334,866.856804622773,76,78,0.13
"Cystopteris fragilis",5.24974760593503,3.39926606115427,21.50389932648,10.1923076923077,1340.73443223444,85.5384615384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dethawia splendens subsp. cantabrica",4.61758926922909,3.41736877704561,24.2144327875282,30.1205673758865,1162.726443769,109.900709219858,-8.24775089031684,1.20048822021328,-6.8703305467267,6.40533095578172e-12,0.00175833730236489,0.0010069141566855,1.74626336385305,0.0807651988435778,59.5758901535698,77,-39.6624171599626,83.3248343199251,88.0382519733043,56.4627855864577,76,78,0.04
"Draba dedeana",5.30604931003985,4.94554387029359,26.1290322580645,38.8333333333333,1399.80952380952,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium anagallidifolium",3.68891536331052,2.97244972769166,24.8571428571429,4.5,812.083333333333,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
