"","Site","Species","2009","2019","Dif"
"191","Urriellu","Gentianella ciliata",9,4,-5
"192","Urriellu","Myosotis alpestris",5,0,-5
"193","Urriellu","Arenaria serpyllifolia",6,2,-4
"194","Urriellu","Leontodon saxatilis",8,5,-3
"195","Urriellu","Silene ciliata",3,0,-3
"196","Urriellu","Armeria cantabrica",5,4,-1
"197","Urriellu","Euphorbia pyrenaica",0,0,0
"198","Urriellu","Festuca burnatii",4,4,0
"199","Urriellu","Viola rupestris",3,3,0
"200","Urriellu","Euphrasia hirtella",0,1,1
"201","Urriellu","Sempervivum vicentei",0,1,1
"202","Urriellu","Conopodium pyrenaeum",192,195,3
"203","Urriellu","Sedum acre",0,5,5
"204","Urriellu","Phyteuma orbiculare",0,8,8
"205","Urriellu","Colchicum montanum",0,9,9
"206","Urriellu","Helianthemum apenninum subsp. urrielense",62,89,27
"207","Urriellu","Arabis alpina",16,44,28
"208","Urriellu","Trifolium pratense",0,45,45
"209","Urriellu","Helianthemum nummularium",0,59,59
"210","Urriellu","Potentilla nivalis subsp. asturica",0,103,103
"211","Urriellu","Silene acaulis",0,104,104
"212","Urriellu","Ranunculus hybridus",0,106,106
